id,lat,lon,user,uid,version,changeset,timestamp
1319042656,43.5210200,1.2573200,Chouloute,306172,1,8398351,2011-06-10T15:47:26Z
1319042684,43.5166550,1.2281360,Chouloute,306172,1,8398351,2011-06-10T15:47:27Z
1319042714,43.5205280,1.2660490,Chouloute,306172,1,8398351,2011-06-10T15:47:29Z
1319042739,43.5183690,1.2497820,Chouloute,306172,1,8398351,2011-06-10T15:47:30Z
1319042782,43.5258100,1.2621090,Chouloute,306172,1,8398351,2011-06-10T15:47:31Z
1319042831,43.5151790,1.2330250,Chouloute,306172,1,8398351,2011-06-10T15:47:33Z
1319042900,43.5178900,1.2523170,Chouloute,306172,1,8398351,2011-06-10T15:47:34Z
1319042956,43.5323000,1.2675940,Chouloute,306172,1,8398351,2011-06-10T15:47:36Z
1319043000,43.5212040,1.2620080,Chouloute,306172,1,8398351,2011-06-10T15:47:37Z
1319043049,43.5211730,1.2537830,Chouloute,306172,1,8398351,2011-06-10T15:47:38Z
1319043078,43.5177940,1.2524030,Chouloute,306172,1,8398351,2011-06-10T15:47:40Z
1319043103,43.5167740,1.2695450,Chouloute,306172,1,8398351,2011-06-10T15:47:41Z
1319043126,43.5321550,1.2664740,Chouloute,306172,1,8398351,2011-06-10T15:47:42Z
1319043150,43.5208851,1.2569303,Chouloute,306172,1,8398351,2011-06-10T15:47:43Z
1319043177,43.5228130,1.2579320,Chouloute,306172,1,8398351,2011-06-10T15:47:45Z
1319043203,43.5214300,1.2579920,Chouloute,306172,1,8398351,2011-06-10T15:47:46Z
1319911273,43.5185040,1.2492650,Chouloute,306172,1,8404811,2011-06-11T10:57:20Z
1319962840,43.5735540,1.2628550,Chouloute,306172,1,8405113,2011-06-11T11:39:51Z
1319962861,43.5976233,1.2804476,Chouloute,306172,1,8405113,2011-06-11T11:39:52Z
1319962895,43.5736680,1.2635320,Chouloute,306172,1,8405113,2011-06-11T11:39:54Z
1319962916,43.5786190,1.2699230,Chouloute,306172,1,8405113,2011-06-11T11:39:54Z
1319962937,43.5725520,1.2597770,Chouloute,306172,1,8405113,2011-06-11T11:39:55Z
1319962959,43.5738670,1.2650060,Chouloute,306172,1,8405113,2011-06-11T11:39:56Z
1319962980,43.5734480,1.2628530,Chouloute,306172,1,8405113,2011-06-11T11:39:57Z
1319963001,43.5695400,1.2536650,Chouloute,306172,1,8405113,2011-06-11T11:39:58Z
1319963022,43.5818560,1.2703520,Chouloute,306172,1,8405113,2011-06-11T11:39:59Z
1319963043,43.5860730,1.2706160,Chouloute,306172,1,8405113,2011-06-11T11:39:59Z
1319963064,43.5809720,1.2700500,Chouloute,306172,1,8405113,2011-06-11T11:40:00Z
1319963084,43.5739100,1.2639270,Chouloute,306172,1,8405113,2011-06-11T11:40:01Z
1319963105,43.5725120,1.2590530,Chouloute,306172,1,8405113,2011-06-11T11:40:02Z
1319963127,43.5741160,1.2662400,Chouloute,306172,1,8405113,2011-06-11T11:40:03Z
1319963165,43.5809450,1.2700200,Chouloute,306172,1,8405113,2011-06-11T11:40:04Z
1319963203,43.5734120,1.2624480,Chouloute,306172,1,8405113,2011-06-11T11:40:05Z
1319963224,43.5698300,1.2541480,Chouloute,306172,1,8405113,2011-06-11T11:40:06Z
1319963245,43.5809740,1.2701980,Chouloute,306172,1,8405113,2011-06-11T11:40:07Z
1319963266,43.5872150,1.2725120,Chouloute,306172,1,8405113,2011-06-11T11:40:08Z
1319963288,43.5871290,1.2724190,Chouloute,306172,1,8405113,2011-06-11T11:40:09Z
1319963309,43.5703290,1.2549450,Chouloute,306172,1,8405113,2011-06-11T11:40:10Z
1319963330,43.5723430,1.2585650,Chouloute,306172,1,8405113,2011-06-11T11:40:10Z
1319963351,43.5808220,1.2703910,Chouloute,306172,1,8405113,2011-06-11T11:40:11Z
1319963373,43.5733460,1.2620380,Chouloute,306172,1,8405113,2011-06-11T11:40:12Z
1319963394,43.5810050,1.2704080,Chouloute,306172,1,8405113,2011-06-11T11:40:13Z
1319963419,43.5813130,1.2701750,Chouloute,306172,1,8405113,2011-06-11T11:40:16Z
1319963440,43.5756660,1.2688590,Chouloute,306172,1,8405113,2011-06-11T11:40:17Z
1319963461,43.5810950,1.2702880,Chouloute,306172,1,8405113,2011-06-11T11:40:18Z
1319963482,43.5810700,1.2703770,Chouloute,306172,1,8405113,2011-06-11T11:40:19Z
1319963504,43.5834130,1.2703060,Chouloute,306172,1,8405113,2011-06-11T11:40:20Z
1319963540,43.5739460,1.2646570,Chouloute,306172,1,8405113,2011-06-11T11:40:20Z
1319963578,43.5734360,1.2627830,Chouloute,306172,1,8405113,2011-06-11T11:40:21Z
1319963621,43.5771170,1.2698840,Chouloute,306172,1,8405113,2011-06-11T11:40:22Z
1319963657,43.5841970,1.2701700,Chouloute,306172,1,8405113,2011-06-11T11:40:23Z
1319963704,43.5714850,1.2561780,Chouloute,306172,1,8405113,2011-06-11T11:40:24Z
1319963746,43.5930215,1.2780915,Chouloute,306172,1,8405113,2011-06-11T11:40:25Z
1319963790,43.5692490,1.2534710,Chouloute,306172,1,8405113,2011-06-11T11:40:25Z
1319963833,43.5809770,1.2699820,Chouloute,306172,1,8405113,2011-06-11T11:40:26Z
1319963870,43.5810610,1.2704730,Chouloute,306172,1,8405113,2011-06-11T11:40:27Z
1319963914,43.5731130,1.2618370,Chouloute,306172,1,8405113,2011-06-11T11:40:28Z
1319963946,43.5811880,1.2703420,Chouloute,306172,1,8405113,2011-06-11T11:40:29Z
1319963967,43.5813090,1.2702970,Chouloute,306172,1,8405113,2011-06-11T11:40:30Z
1319963991,43.5870190,1.2717950,Chouloute,306172,1,8405113,2011-06-11T11:40:31Z
1319964024,43.5768160,1.2698950,Chouloute,306172,1,8405113,2011-06-11T11:40:31Z
1319964055,43.5725940,1.2596740,Chouloute,306172,1,8405113,2011-06-11T11:40:32Z
1319964076,43.5851270,1.2698010,Chouloute,306172,1,8405113,2011-06-11T11:40:33Z
1319964097,43.5699270,1.2543610,Chouloute,306172,1,8405113,2011-06-11T11:40:34Z
1319964123,43.5847010,1.2700510,Chouloute,306172,1,8405113,2011-06-11T11:40:35Z
1319964149,43.5727560,1.2607840,Chouloute,306172,1,8405113,2011-06-11T11:40:36Z
1319964172,43.5813220,1.2702210,Chouloute,306172,1,8405113,2011-06-11T11:40:36Z
1319964229,43.5709460,1.2556330,Chouloute,306172,1,8405113,2011-06-11T11:40:40Z
1319964250,43.5740490,1.2656680,Chouloute,306172,1,8405113,2011-06-11T11:40:41Z
1319964271,43.5976277,1.2803880,Chouloute,306172,1,8405113,2011-06-11T11:40:42Z
1320034207,43.5576429,1.2455156,Chouloute,306172,1,8405557,2011-06-11T12:34:35Z
1320034229,43.5675709,1.2472208,Chouloute,306172,2,8430636,2011-06-13T19:35:33Z
1320034250,43.5563275,1.2451087,Chouloute,306172,1,8405557,2011-06-11T12:34:36Z
1320034271,43.5577200,1.2455085,Chouloute,306172,1,8405557,2011-06-11T12:34:37Z
1320034292,43.5546558,1.2429846,Chouloute,306172,1,8405557,2011-06-11T12:34:38Z
1320034317,43.5598155,1.2454286,Chouloute,306172,1,8405557,2011-06-11T12:34:38Z
1320034338,43.5589039,1.2453631,Chouloute,306172,1,8405557,2011-06-11T12:34:39Z
1320034374,43.5556303,1.2448906,Chouloute,306172,1,8405557,2011-06-11T12:34:40Z
1320086216,43.5636140,1.3084160,Chouloute,306172,1,8405894,2011-06-11T13:20:34Z
1320086684,43.5645390,1.3054220,Chouloute,306172,1,8405894,2011-06-11T13:20:44Z
1320086991,43.5455307,1.2672233,Chouloute,306172,1,8405894,2011-06-11T13:20:53Z
1320087198,43.5654000,1.3012350,Chouloute,306172,1,8405894,2011-06-11T13:20:58Z
1320087466,43.5658530,1.3043480,Chouloute,306172,1,8405894,2011-06-11T13:21:05Z
1320087725,43.5447447,1.2574598,Gall,51308,2,15984236,2013-05-05T12:59:00Z
1320088054,43.5502620,1.2908250,Chouloute,306172,1,8405894,2011-06-11T13:21:25Z
1320088503,43.5598100,1.2948220,Chouloute,306172,1,8405894,2011-06-11T13:21:36Z
1320088946,43.5491470,1.2891030,Chouloute,306172,1,8405894,2011-06-11T13:21:45Z
1320089154,43.5641500,1.3059150,Chouloute,306172,1,8405894,2011-06-11T13:21:53Z
1320089291,43.5664201,1.3125174,Balaïtous,571625,2,12212569,2012-07-13T23:37:04Z
1320089428,43.5548610,1.2909790,Chouloute,306172,1,8405894,2011-06-11T13:22:10Z
1320089585,43.5558633,1.2830234,Chouloute,306172,1,8405894,2011-06-11T13:22:19Z
1320090022,43.5644090,1.3118190,Chouloute,306172,1,8405894,2011-06-11T13:22:30Z
1320090754,43.5639410,1.3076270,Chouloute,306172,1,8405894,2011-06-11T13:22:41Z
1320091046,43.5509654,1.2791805,Chouloute,306172,1,8405894,2011-06-11T13:22:50Z
1320091196,43.5640460,1.3069740,Chouloute,306172,1,8405894,2011-06-11T13:22:57Z
1320091380,43.5636460,1.3079240,Chouloute,306172,1,8405894,2011-06-11T13:23:08Z
1320091532,43.5639340,1.3098210,Chouloute,306172,1,8405894,2011-06-11T13:23:18Z
1320091673,43.5563160,1.2930190,Chouloute,306172,1,8405894,2011-06-11T13:23:27Z
1320092055,43.5656270,1.3035660,Chouloute,306172,1,8405894,2011-06-11T13:23:34Z
1320092524,43.5501870,1.2906400,Chouloute,306172,1,8405894,2011-06-11T13:23:45Z
1320092719,43.5582307,1.2866203,Chouloute,306172,1,8405894,2011-06-11T13:23:53Z
1320092850,43.5437697,1.2569457,Gall,51308,2,15984236,2013-05-05T12:59:01Z
1320093024,43.5636220,1.3082780,Chouloute,306172,1,8405894,2011-06-11T13:24:09Z
1320093128,43.5597030,1.2951760,Chouloute,306172,1,8405894,2011-06-11T13:24:21Z
1320093380,43.5530720,1.2910900,Chouloute,306172,1,8405894,2011-06-11T13:24:29Z
1320094292,43.5572817,1.2838638,Chouloute,306172,1,8405894,2011-06-11T13:24:45Z
1320840000,43.5448117,1.3066136,Chouloute,306172,1,8410039,2011-06-11T21:03:02Z
1320840067,43.5453617,1.3106884,Chouloute,306172,1,8410039,2011-06-11T21:03:03Z
1320917709,43.5377721,1.3109178,Chouloute,306172,1,8410070,2011-06-11T21:36:26Z
1320917746,43.5472112,1.3138156,Chouloute,306172,1,8410070,2011-06-11T21:36:26Z
1320917791,43.5404029,1.3112371,Chouloute,306172,1,8410070,2011-06-11T21:36:28Z
1322182730,43.5926187,1.2208978,Chouloute,306172,1,8416912,2011-06-12T16:16:16Z
1322187455,43.5924428,1.2209213,Chouloute,306172,1,8416912,2011-06-12T16:17:44Z
